model,primary_model_name,strict_model_name,dataset,comparison_item,primary_value,strict_value,strict_minus_primary
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,sample_size,2430.0,2373.0,-57.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,positive_n,683.0,683.0,0.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,negative_n,1747.0,1690.0,-57.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,prevalence,0.2810699588477366,0.2878213232195533,0.0067513643718166705
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,AUROC,0.6655643097851913,0.670417666577144,0.0048533567919526455
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,AUPRC,0.46040893334758604,0.47512052673368893,0.014711593386102895
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,Brier score,0.19713447017684577,0.20137797497250953,0.004243504795663766
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,accuracy,0.7148148148148148,0.6957437842393595,-0.01907103057545534
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,sensitivity,0.3294289897510981,0.36603221083455345,0.03660322108345537
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,specificity,0.8654836863194046,0.8289940828402367,-0.036489603479167965
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,F1,0.3937007874015748,0.40916530278232405,0.015464515380749222
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,calibration_intercept,-0.5251097340893227,-0.5956422129481248,-0.0705324788588021
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,calibration_slope,0.9563224757091195,0.9060116540856874,-0.050310821623432145
