wave,age_eligible_n,primary_label_eligible_n,strict_label_eligible_n,strict_positive_n,strict_confirmed_negative_n,uncertain_partial_negative_n,both_components_missing_n,strict_prevalence
1,7560,6045,5732,2878,2854,313,1515,0.5020935101186322
3,10131,8196,7918,3242,4676,278,1935,0.40944683000757764
