dataset,common_sample_size,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed,direction_note
Primary ID-isolated Wave 3 common subset,2430,AUROC advantage,0.011611622853148651,-0.0028379249418441083,0.02626144997804877,2000,2000,20260613,Positive values favour Logistic A-only; Brier advantage is XGBoost Brier minus Logistic Brier.
Primary ID-isolated Wave 3 common subset,2430,AUPRC advantage,0.008721167994488244,-0.010468442947192522,0.028237538112272868,2000,2000,20260613,Positive values favour Logistic A-only; Brier advantage is XGBoost Brier minus Logistic Brier.
Primary ID-isolated Wave 3 common subset,2430,Brier advantage,0.0026581515963192137,-0.00012957424773768971,0.005347356021821889,2000,2000,20260613,Positive values favour Logistic A-only; Brier advantage is XGBoost Brier minus Logistic Brier.
Primary ID-isolated Wave 3 common subset,2430,sensitivity difference,-0.04245973645680817,-0.06707762801312224,-0.01886724090784796,2000,2000,20260613,Positive values favour Logistic A-only; Brier advantage is XGBoost Brier minus Logistic Brier.
Primary ID-isolated Wave 3 common subset,2430,specificity difference,0.038351459645106,0.02395217094601187,0.051907023746367464,2000,2000,20260613,Positive values favour Logistic A-only; Brier advantage is XGBoost Brier minus Logistic Brier.
Primary ID-isolated Wave 3 common subset,2430,F1 difference,-0.019297731050094413,-0.04566468701098181,0.006154302538802138,2000,2000,20260613,Positive values favour Logistic A-only; Brier advantage is XGBoost Brier minus Logistic Brier.
