Model,N,AUROC (95% CI),AUPRC (95% CI),Accuracy (95% CI),Sensitivity (95% CI),Specificity (95% CI),F1 score (95% CI)
Logistic A-only,5900,0.6809 (0.6669–0.6953),0.6418 (0.6215–0.6628),0.6371 (0.6244–0.6497),0.5422 (0.5228–0.5605),0.7221 (0.7063–0.7378),0.5853 (0.5689–0.6015)
XGBoost A+B,5781,0.6750 (0.6610–0.6891),0.6276 (0.6072–0.6484),0.6267 (0.6144–0.6393),0.5385 (0.5197–0.5575),0.7043 (0.6876–0.7206),0.5744 (0.5583–0.5898)
