model,dataset,fpr,tpr,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0,0.0,inf
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0,0.0014641288433382138,0.9764884127940616
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0,0.010248901903367497,0.8645613457217715
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0011448196908986834,0.010248901903367497,0.8427986417436094
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0011448196908986834,0.016105417276720352,0.8277480318010207
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0017172295363480253,0.016105417276720352,0.8222518252077565
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0017172295363480253,0.02342606149341142,0.7990904606350225
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0022896393817973667,0.02342606149341142,0.7923175641956097
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0022896393817973667,0.027818448023426062,0.7892007840367566
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0028620492272467086,0.027818448023426062,0.7850194463209436
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0028620492272467086,0.03367496339677892,0.7698284180395182
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0034344590726960505,0.03367496339677892,0.7697113882823163
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0034344590726960505,0.03806734992679356,0.7600822625621465
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.004006868918145392,0.03806734992679356,0.7563537711569932
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.004006868918145392,0.0424597364568082,0.7470641955295062
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0045792787635947334,0.0424597364568082,0.7407494906156583
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0045792787635947334,0.043923865300146414,0.7398232746984493
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.005151688609044075,0.043923865300146414,0.7392612910235653
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.005151688609044075,0.048316251830161056,0.7317621433290142
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.005724098454493417,0.048316251830161056,0.7310080347086283
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.005724098454493417,0.04978038067349927,0.7285107313058011
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.006296508299942759,0.04978038067349927,0.7284169322527996
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.006296508299942759,0.0527086383601757,0.7271288667032394
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.006868918145392101,0.0527086383601757,0.7266923291687784
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.006868918145392101,0.05710102489019034,0.723998496521116
