model,dataset,precision,recall,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2810699588477366,1.0,0.0776630731307091
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2811856731165088,1.0,0.0919834949353263
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28141738772146685,1.0,0.0968881923954422
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28153338829348723,1.0,0.0975063289008823
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28164948453608246,1.0,0.0982420176345374
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2819983484723369,1.0,0.0986028777441585
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2822314049586777,1.0,0.0992463970513686
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2823480777180653,1.0,0.1038201746178664
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.282167976830782,0.9985358711566618,0.1040285873227027
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28251864125932064,0.9985358711566618,0.1052595715528634
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2826357231661832,0.9985358711566618,0.1053426162547307
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2827529021558872,0.9985358711566618,0.1063106058896177
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28287017834923267,0.9985358711566618,0.1065745439958341
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2829875518672199,0.9985358711566618,0.1071199668011207
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2831050228310502,0.9985358711566618,0.1077972103517171
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28322259136212624,0.9985358711566618,0.1101868672711246
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2835758835758836,0.9985358711566618,0.1114084166841349
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28369384359401,0.9985358711566618,0.1117915951257556
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2838119017894299,0.9985358711566618,0.1118851138427799
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2839300582847627,0.9985358711566618,0.1121076911500848
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28375,0.9970717423133236,0.1127921683952976
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2838682784493539,0.9970717423133236,0.1128039271212233
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28398665554628855,0.9970717423133236,0.1134397752325092
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28368794326241137,0.9956076134699854,0.1135108418360864
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2838063439065108,0.9956076134699854,0.1135284548352378
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2839248434237996,0.9956076134699854,0.1137368175941884
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28404344193817876,0.9956076134699854,0.1147525519274305
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2841621395737568,0.9956076134699854,0.1158257714400606
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2842809364548495,0.9956076134699854,0.1167192851009933
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28439983270598074,0.9956076134699854,0.1199839040673611
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28463792381749686,0.9956076134699854,0.1217117965512526
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2847571189279732,0.9956076134699854,0.122140193427563
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28487641390867197,0.9956076134699854,0.122229159732859
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28499580888516346,0.9956076134699854,0.1225868696760584
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2851153039832285,0.9956076134699854,0.1226464227372715
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28523489932885904,0.9956076134699854,0.1253995382464042
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2849349559378934,0.9941434846266471,0.1256232046605871
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2850545759865659,0.9941434846266471,0.1257162862996313
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2851742965140697,0.9941434846266471,0.12582339261735
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2854140395124002,0.9941434846266471,0.1261416894975295
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2855340622371741,0.9941434846266471,0.1261741609007163
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2852334875893984,0.9926793557833089,0.1268449457399374
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28535353535353536,0.9926793557833089,0.127014231046623
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2854736842105263,0.9926793557833089,0.1275475424349054
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2855939342881213,0.9926793557833089,0.1279782352292612
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2857142857142857,0.9926793557833089,0.1283334868480909
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28583473861720066,0.9926793557833089,0.1291432401078025
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2859552931252636,0.9926793557833089,0.129309377388807
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28607594936708863,0.9926793557833089,0.1298301773400622
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28619670747150694,0.9926793557833089,0.1301638367930902
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2864385297845374,0.9926793557833089,0.1303913178894219
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2865595942519019,0.9926793557833089,0.130983403665638
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2868020304568528,0.9926793557833089,0.1319328226051126
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2867429055484964,0.9912152269399708,0.132093079428415
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.286864406779661,0.9912152269399708,0.1321436716417524
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2869860110216193,0.9912152269399708,0.1331441104283996
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2871077184054283,0.9912152269399708,0.1357421993045283
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28722952906236743,0.9912152269399708,0.1360098189920418
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2873514431239389,0.9912152269399708,0.1363174786311754
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28747346072186836,0.9912152269399708,0.1378974525252221
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.287292817679558,0.9897510980966325,0.1395120679380344
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28741496598639454,0.9897510980966325,0.1402463157757671
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28753721820501915,0.9897510980966325,0.1405381149080116
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2876595744680851,0.9897510980966325,0.1412758308523211
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2877820349084717,0.9897510980966325,0.1414104008715016
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2879045996592845,0.9897510980966325,0.1433985828764873
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28815004262574595,0.9897510980966325,0.1436334962171303
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28827292110874203,0.9897510980966325,0.1443452969306077
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2883959044368601,0.9897510980966325,0.1443567419314527
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28851899274434484,0.9897510980966325,0.1448597788292445
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2887654848355404,0.9897510980966325,0.1455396758263279
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28888888888888886,0.9897510980966325,0.1461222971537308
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2890123984608807,0.9897510980966325,0.1461441361274758
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2891360136869119,0.9897510980966325,0.1470041329457011
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2892597347026102,0.9897510980966325,0.1474252680548337
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2893835616438356,0.9897510980966325,0.1481632339165745
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28950749464668096,0.9897510980966325,0.1481939903559981
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28963153384747214,0.9897510980966325,0.1504766915352731
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28975567938276897,0.9897510980966325,0.1505677541179673
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.28987993138936535,0.9897510980966325,0.1514466928400611
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29000429000429,0.9897510980966325,0.1530941102407794
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29012875536480687,0.9897510980966325,0.1541053980048978
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29025332760841566,0.9897510980966325,0.1541753626752443
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29037800687285226,0.9897510980966325,0.1547154743971607
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2905027932960894,0.9897510980966325,0.1564547291783114
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29062768701633707,0.9897510980966325,0.1564779003196408
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29075268817204303,0.9897510980966325,0.1567735282915181
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2908777969018933,0.9897510980966325,0.1571166080947388
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29100301334481277,0.9897510980966325,0.1571864214198226
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29112833763996554,0.9897510980966325,0.1571950634924449
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2912537699267557,0.9897510980966325,0.1586949325769814
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2913793103448276,0.9897510980966325,0.1592641523482488
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2915049590340664,0.9897510980966325,0.1596540467844628
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2916307161345988,0.9897510980966325,0.1601366224784756
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29175658178679326,0.9897510980966325,0.160200409463692
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2918825561312608,0.9897510980966325,0.1602119128728533
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2920086393088553,0.9897510980966325,0.1606294036601381
