model,primary_model_name,strict_model_name,dataset,comparison_item,primary_value,strict_value,strict_minus_primary
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,sample_size,2430.0,2373.0,-57.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,positive_n,683.0,683.0,0.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,negative_n,1747.0,1690.0,-57.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,prevalence,0.2810699588477366,0.2878213232195533,0.0067513643718166
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,AUROC,0.6655643097851913,0.670417666577144,0.0048533567919526
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,AUPRC,0.460408933347586,0.4751205267336889,0.0147115933861028
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,Brier score,0.1971344701768457,0.2013779749725095,0.0042435047956637
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,accuracy,0.7148148148148148,0.6957437842393595,-0.0190710305754553
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,sensitivity,0.3294289897510981,0.3660322108345534,0.0366032210834553
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,specificity,0.8654836863194046,0.8289940828402367,-0.0364896034791679
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,F1,0.3937007874015748,0.409165302782324,0.0154645153807492
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,calibration_intercept,-0.5251097340893227,-0.5956422129481248,-0.0705324788588021
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,calibration_slope,0.9563224757091195,0.9060116540856874,-0.0503108216234321
