model,model_name,dataset,sample_size,positive_n,negative_n,prevalence,threshold,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed,method_note
Logistic A-only,logistic_A_only_strict_label,ID-isolated Wave 3 validation,2391,694,1697,0.2902551233793392,0.5,specificity,0.8467884502062463,0.8310528767666562,0.8644272047634337,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,ID-isolated Wave 3 validation,2391,694,1697,0.2902551233793392,0.5,F1,0.427040395713108,0.3916217799007952,0.4604319392587196,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,ID-isolated Wave 3 validation,2391,694,1697,0.2902551233793392,0.5,calibration_intercept,-0.5377431978941665,-0.6402175215258866,-0.4324346072372794,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,ID-isolated Wave 3 validation,2391,694,1697,0.2902551233793392,0.5,calibration_slope,1.0147713741948858,0.8859366530996237,1.1648839462085945,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,AUROC,0.670417666577144,0.6467223716145686,0.694340099118302,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,AUPRC,0.47512052673368893,0.43805651602233686,0.5148251756519835,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,Brier score,0.20137797497250953,0.19552693744770125,0.20731109490443744,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,accuracy,0.6957437842393595,0.6780446691951116,0.7138643067846607,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,sensitivity,0.36603221083455345,0.33078071622099187,0.4021677056613436,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,specificity,0.8289940828402367,0.8107287801324393,0.8473113529965566,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,F1,0.40916530278232405,0.3748606711417478,0.4424657746818856,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,calibration_intercept,-0.5956422129481248,-0.7004361627926654,-0.4943100803490663,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,ID-isolated Wave 3 validation,2373,683,1690,0.2878213232195533,0.5,calibration_slope,0.9060116540856874,0.7724421525073732,1.0525793694362129,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
