subgroup_domain,subgroup_label,model,N,positive_N,negative_N,prevalence,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed,adequacy_flag,interpretation_note
Age,>=80 years,Logistic A-only,53,37,16,0.6981132075471698,AUPRC,0.8415981301891475,0.7158154289330922,0.9450546255378517,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Age,>=80 years,Logistic A-only,53,37,16,0.6981132075471698,Brier score,0.18477272663089278,0.12607046536699998,0.24656899830100432,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Age,>=80 years,XGBoost A+B,53,37,16,0.6981132075471698,AUROC,0.7347972972972973,0.5824561403508772,0.8730650154798761,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Age,>=80 years,XGBoost A+B,53,37,16,0.6981132075471698,AUPRC,0.875462817654592,0.7697511877329049,0.9542324957999235,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Age,>=80 years,XGBoost A+B,53,37,16,0.6981132075471698,Brier score,0.18595960954957338,0.12644379314335108,0.2502390015203006,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Rural,Logistic A-only,1461,449,1012,0.3073237508555784,AUROC,0.6481597225278837,0.6165335706287498,0.6789698350633032,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Rural,Logistic A-only,1461,449,1012,0.3073237508555784,AUPRC,0.4714731400044091,0.4262116703119116,0.5178091621170574,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Rural,Logistic A-only,1461,449,1012,0.3073237508555784,Brier score,0.207373015759091,0.20025923125782574,0.21389533888732407,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Rural,XGBoost A+B,1461,449,1012,0.3073237508555784,AUROC,0.6399948942313618,0.6087542799094153,0.6701900941917295,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Rural,XGBoost A+B,1461,449,1012,0.3073237508555784,AUPRC,0.4630428265500984,0.4184523953507572,0.5095681300067436,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Rural,XGBoost A+B,1461,449,1012,0.3073237508555784,Brier score,0.2087664926459708,0.20106082738372275,0.21612748275082846,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Urban,Logistic A-only,969,234,735,0.24148606811145512,AUROC,0.7083493226350368,0.6691351314531985,0.745949424815658,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Urban,Logistic A-only,969,234,735,0.24148606811145512,AUPRC,0.4655034581093996,0.405029872348983,0.5341676004167027,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Urban,Logistic A-only,969,234,735,0.24148606811145512,Brier score,0.17503145317507485,0.16591788327972185,0.18409447078011823,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Urban,XGBoost A+B,969,234,735,0.24148606811145512,AUROC,0.6906273620559336,0.649067184625835,0.7293462176874715,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Urban,XGBoost A+B,969,234,735,0.24148606811145512,AUPRC,0.4529044908467338,0.3889777972399925,0.5207862232829419,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Residence,Urban,XGBoost A+B,969,234,735,0.24148606811145512,Brier score,0.17959640533949622,0.16995016705559426,0.18958869935401168,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Education,High school or above,Logistic A-only,198,24,174,0.12121212121212122,AUROC,0.6704980842911877,0.5406052018633539,0.7931075928381963,2000,2000,20260613,imprecise_small_subgroup,Subgroup estimates are descriptive; no formal interaction test was performed.
